Bảng tổng quan danh mục nhà cung cấp (Microsegmentation Vendors),,,,,,,,
STT,Company,Country,Founded,Product,product_id,Product Category,Website,Short Description
28,Hillstone Networks,Mỹ,2006,Hillstone CloudHive,hillstone-cloudhive,Microsegmentation for Virtualization,https://www.hillstonenet.com,Cung cấp giải pháp vi phân vùng cho môi trường ảo hóa giúp giám sát và bảo vệ lưu lượng truy cập East-West.
29,Sophos,Anh,1985,Sophos Firewall / Synchronized Security,sophos-firewall-synchronized-security,Network & Endpoint Microsegmentation,https://www.sophos.com,Cung cấp các tính năng tự động cô lập điểm cuối nhiễm bệnh và vi phân vùng mạng thông qua công nghệ Synchronized Security.
30,Cloudflare,Mỹ,2009,Cloudflare One,cloudflare-one,Zero Trust Application Segmentation,https://www.cloudflare.com,Nền tảng Zero Trust hỗ trợ phân vùng truy cập ứng dụng và kiểm soát lưu lượng mạng doanh nghiệp không qua VPN.
31,FireMon,Mỹ,2004,FireMon Security Manager,firemon-security-manager,Security Policy Management & Microsegmentation,https://www.firemon.com,"Giải pháp quản lý chính sách an toàn mạng hỗ trợ thiết kế, kiểm soát và xác minh hiệu lực chính sách vi phân vùng."
32,Skybox Security,Mỹ,2002,Skybox Security Posture Management,skybox-security-posture-management,Network Policy & Microsegmentation Analytics,https://www.skyboxsecurity.com,Giải pháp phân tích mô hình mạng và tối ưu hóa chính sách vi phân vùng cho môi trường CNTT và OT phức tạp.
33,Zentera Systems,Mỹ,2008,Zentera CoShield,zentera-coshield,Zero Trust Microsegmentation,https://www.zentera.com,Giải pháp vi phân vùng dạng overlay bảo vệ ứng dụng và dữ liệu trên môi trường đa đám mây mà không cần thay đổi hạ tầng.
34,Network Perception,Mỹ,2014,NP-View,np-view,OT Network Segmentation & Verification,https://www.network-perception.com,Phần mềm phân tích và xác minh cấu hình vi phân vùng mạng cho các hệ thống điều khiển công nghiệp OT/ICS.
35,Dragos,Mỹ,2016,Dragos Platform,dragos-platform,OT/ICS Cybersecurity & Segmentation Support,https://www.dragos.com,Nền tảng an toàn thông tin chuyên biệt cho OT/ICS với khả năng phát hiện tài sản và hỗ trợ thiết kế kiến trúc phân vùng.
36,Nozomi Networks,Mỹ,2013,Nozomi Guardian / Vantage,nozomi-guardian-vantage,OT/IoT Network Visibility & Microsegmentation,https://www.nozominetworks.com,Giải pháp giám sát an toàn mạng công nghiệp OT/IoT giúp phát hiện bất thường và hỗ trợ triển khai vi phân vùng mạng.
37,Mission Secure,Mỹ,2014,Mission Secure Platform,mission-secure-platform,OT Microsegmentation & Protection,https://www.missionsecure.com,Giải pháp bảo vệ an toàn thông tin OT tích hợp vi phân vùng và ngăn chặn các lệnh điều khiển bất thường.
38,BlastWave,Mỹ,2017,BlastShield,blastshield,Zero Trust Microsegmentation,https://www.blastwave.com,Giải pháp vi phân vùng ẩn tài sản mạng dựa trên kiến trúc Software-Defined Perimeter (SDP) cho IT và OT.
39,AppViewX,Mỹ,2012,AppViewX AVX ONE,appviewx-avx-one,Network Security Policy Orchestration,https://www.appviewx.com,Nền tảng tự động hóa và quản lý chính sách vi phân vùng mạng trên hạ tầng lai và trung tâm dữ liệu.
40,Versa Networks,Mỹ,2012,Versa Secure SD-WAN / SASE,versa-secure-sd-wan-sase,SASE & Microsegmentation,https://versa-networks.com,Cung cấp giải pháp SD-WAN và SASE tích hợp khả năng phân vùng mạng đa điểm và kiểm soát truy cập cho doanh nghiệp.
41,HPE Aruba Networking,Mỹ,2002,Aruba Dynamic Segmentation / ClearPass,aruba-dynamic-segmentation-clearpass,Dynamic Network Microsegmentation,https://www.arubanetworks.com,Giải pháp vi phân vùng động dựa trên vai trò thiết bị và người dùng trên toàn bộ hạ tầng mạng Wired và Wireless.
42,Extreme Networks,Mỹ,1996,Extreme Fabric Connect,extreme-fabric-connect,Network Fabric Microsegmentation,https://www.extremenetworks.com,Công nghệ Fabric Connect cho phép tạo các phân vùng mạng ảo cách ly tự động đơn giản và bảo mật cao.
43,SonicWall,Mỹ,1991,SonicWall Network Security / Cloud Edge,sonicwall-network-security-cloud-edge,Network Segmentation & ZTNA,https://www.sonicwall.com,Thiết bị tường lửa thế hệ mới và giải pháp ZTNA hỗ trợ phân vùng mạng nội bộ cho SMB và Enterprise.
44,WatchGuard Technologies,Mỹ,1996,WatchGuard Firebox,watchguard-firebox,Unified Threat Management & Segmentation,https://www.watchguard.com,Các giải pháp tường lửa bảo mật tích hợp tính năng phân vùng mạng nội bộ và cô lập nguy cơ an ninh.
45,Sangfor Technologies,Trung Quốc,2000,Sangfor HCI / Next-Gen Firewall,sangfor-hci-next-gen-firewall,Cloud & Network Microsegmentation,https://www.sangfor.com,Cung cấp giải pháp tường lửa thế hệ mới và vi phân vùng cho hạ tầng ảo hóa/đám mây doanh nghiệp.
46,Trend Micro,Nhật Bản,1988,Trend Vision One / Cloud One,trend-vision-one-cloud-one,Hybrid Cloud Microsegmentation,https://www.trendmicro.com,"Nền tảng an toàn thông tin đám mây tích hợp các tính năng vi phân vùng cho máy chủ, ảo hóa và container."
47,Tenable,Mỹ,2002,Tenable OT Security,tenable-ot-security,OT Asset Visibility & Segmentation Assessment,https://www.tenable.com,Giải pháp quản lý rủi ro và an toàn thông tin cho OT/ICS hỗ trợ đánh giá chính sách vi phân vùng mạng công nghiệp.
48,Microsoft,Mỹ,1975,Microsoft Defender for IoT,microsoft-defender-for-iot,OT/ICS Microsegmentation Monitoring,https://www.microsoft.com,Giải pháp giám sát an toàn mạng OT/IoT hỗ trợ phát hiện rủi ro lây lan ngang và đánh giá kiến trúc phân vùng.
49,Kaspersky,Nga,1997,Kaspersky Industrial CyberSecurity (KICS),kaspersky-industrial-cybersecurity-kics,OT Network Segmentation & Security,https://www.kaspersky.com,Giải pháp bảo vệ toàn diện cho mạng công nghiệp OT/ICS với tính năng kiểm soát truy cập và phân vùng mạng.
50,Forcepoint,Mỹ,1994,Forcepoint Next-Gen Firewall / FlexEdge,forcepoint-next-gen-firewall-flexedge,Secure Network Microsegmentation,https://www.forcepoint.com,Giải pháp tường lửa thế hệ mới tích hợp vi phân vùng mạng và kiểm soát truy cập dữ liệu cho doanh nghiệp.
