product_id,vendor,product_name,mode,checklist_version,assessed_at,1.1,1.1_conf,1.1_ev,1.2,1.2_conf,1.2_ev,1.3,1.3_conf,1.3_ev,1.4,1.4_conf,1.4_ev,1.5,1.5_conf,1.5_ev,2.1,2.1_conf,2.1_ev,2.2,2.2_conf,2.2_ev,2.3,2.3_conf,2.3_ev,2.4,2.4_conf,2.4_ev,2.5,2.5_conf,2.5_ev,3.1,3.1_conf,3.1_ev,3.2,3.2_conf,3.2_ev,3.3,3.3_conf,3.3_ev,3.4,3.4_conf,3.4_ev,3.5,3.5_conf,3.5_ev,4.1,4.1_conf,4.1_ev,4.2,4.2_conf,4.2_ev,4.3,4.3_conf,4.3_ev,4.4,4.4_conf,4.4_ev,4.5,4.5_conf,4.5_ev,5.1,5.1_conf,5.1_ev,5.2,5.2_conf,5.2_ev,5.3,5.3_conf,5.3_ev,5.4,5.4_conf,5.4_ev,6.1,6.1_conf,6.1_ev,6.2,6.2_conf,6.2_ev,6.3,6.3_conf,6.3_ev,6.4,6.4_conf,6.4_ev,7.1,7.1_conf,7.1_ev,7.2,7.2_conf,7.2_ev,7.3,7.3_conf,7.3_ev,8.1,8.1_conf,8.1_ev,8.2,8.2_conf,8.2_ev
claroty-xdome-ctd,Claroty,Claroty xDome / Continuous Threat Detection (CTD),standard,1,2026-08-10T14:01:47Z,Y,high,5,Y,medium,4,P,medium,2,P,medium,4,Y,high,5,Y,high,5,Y,high,4,Y,medium,4,?,low,0,?,low,0,P,medium,3,?,low,0,Y,medium,6,Y,medium,4,P,medium,3,-,medium,3,-,medium,2,P,medium,3,-,medium,2,-,medium,2,Y,high,4,Y,high,4,Y,high,4,?,low,0,?,low,0,P,medium,4,P,medium,4,P,medium,4,P,medium,3,?,low,0,Y,medium,3,N,medium,2,Y,high,6
cloudflare-one,Cloudflare,Cloudflare One,standard,1,2026-08-10T13:55:15Z,P,medium,3,P,medium,2,P,medium,2,?,low,0,P,medium,2,Y,medium,3,?,low,0,P,medium,1,?,low,0,Y,medium,2,N,medium,2,P,medium,2,Y,medium,3,?,low,0,P,medium,2,?,low,0,?,low,0,P,medium,2,P,medium,3,?,low,0,P,medium,2,Y,medium,3,?,low,0,Y,medium,2,P,medium,2,P,medium,3,P,medium,2,P,medium,3,Y,high,3,Y,medium,2,P,medium,2,N,medium,2,?,low,0
colortokens-xshield,ColorTokens,ColorTokens Xshield,standard,1,2026-08-10T08:48:01Z,Y,high,6,Y,medium,5,Y,medium,3,Y,medium,3,Y,high,4,Y,high,4,Y,high,4,Y,high,4,P,medium,3,Y,medium,3,P,medium,4,Y,high,5,Y,high,5,?,low,0,Y,medium,3,P,medium,2,Y,medium,3,?,low,0,P,medium,2,P,medium,3,Y,medium,4,Y,high,4,Y,medium,2,P,medium,3,P,medium,2,P,medium,3,P,medium,4,Y,medium,3,P,medium,3,P,medium,3,?,low,0,N,medium,3,P,medium,2
cyolo-pro,Cyolo,Cyolo PRO (with Cyolo CPS Segmentation),standard,1,2026-08-10T14:00:00Z,Y,medium,3,Y,medium,3,P,medium,2,?,low,0,Y,medium,3,Y,medium,3,Y,medium,2,Y,medium,3,?,low,0,Y,medium,2,P,medium,3,?,low,0,Y,medium,3,Y,high,4,P,medium,2,?,low,0,?,low,0,P,medium,2,P,medium,2,P,medium,2,P,medium,3,Y,medium,3,P,low,1,?,low,0,?,low,0,P,medium,3,P,medium,2,P,medium,2,Y,medium,3,?,low,0,?,low,0,?,low,0,P,medium,2
dragos-platform,"Dragos, Inc.",Dragos Platform,standard,1,2026-08-10T00:00:00Z,Y,high,3,P,medium,3,?,low,0,P,medium,2,Y,high,3,N,medium,3,N,medium,2,?,low,0,?,low,0,?,low,0,P,medium,3,N,medium,1,P,medium,3,Y,medium,4,Y,medium,3,P,medium,1,N,medium,1,Y,medium,3,Y,medium,3,?,low,0,P,medium,3,Y,medium,4,Y,medium,2,?,low,0,-,medium,2,P,medium,3,P,medium,2,?,low,0,P,medium,1,?,low,0,?,low,0,N,medium,2,P,medium,2
elisity-digital,Elisity,Elisity Digital,standard,1,2026-08-10T15:45:00Z,Y,high,5,P,medium,4,P,medium,3,P,medium,3,Y,medium,4,Y,high,4,Y,medium,4,Y,high,4,P,medium,3,Y,medium,3,-,medium,3,P,medium,3,N,medium,4,N,medium,3,Y,medium,3,-,medium,3,-,medium,3,P,medium,3,-,medium,2,-,medium,3,P,medium,4,Y,medium,4,Y,medium,3,P,medium,4,N,medium,3,P,medium,3,P,medium,3,Y,medium,2,Y,medium,3,P,medium,3,?,low,0,?,low,0,?,low,0
extreme-fabric-connect,Extreme Networks,Extreme Fabric Connect,standard,1,2026-08-10T17:08:50Z,Y,high,5,P,medium,2,P,medium,1,?,low,0,P,medium,2,P,medium,3,?,low,0,?,low,0,P,medium,1,?,low,0,-,medium,2,P,medium,2,P,medium,2,Y,medium,2,P,medium,3,-,medium,1,-,medium,1,-,medium,1,-,medium,1,-,medium,1,P,medium,4,P,medium,3,Y,medium,2,P,medium,2,-,medium,2,P,medium,2,P,medium,3,-,medium,1,Y,medium,2,Y,medium,2,P,medium,2,P,medium,3,?,low,0
faddom-hybrid-cloud-mapping,Faddom,Faddom Hybrid Cloud Mapping,standard,1,2026-08-10T11:18:46Z,Y,high,5,P,medium,5,P,medium,1,Y,medium,4,Y,high,5,Y,medium,5,P,medium,5,Y,medium,3,?,low,0,P,medium,3,P,medium,4,P,medium,4,Y,high,5,Y,medium,5,P,medium,2,-,medium,3,-,medium,2,P,medium,2,-,medium,2,Y,medium,1,P,medium,4,P,medium,3,Y,medium,5,?,low,0,-,medium,2,P,medium,3,P,medium,4,P,medium,4,?,low,0,-,medium,2,P,medium,3,N,medium,1,?,low,0
firemon-security-manager,FireMon,FireMon Security Manager,standard,1,2026-08-10T17:05:13Z,Y,medium,5,P,medium,3,P,medium,4,P,medium,3,Y,medium,4,P,medium,3,Y,medium,3,Y,medium,5,?,low,0,?,low,0,-,medium,3,P,medium,3,P,medium,3,?,low,0,P,medium,3,-,medium,2,-,medium,2,-,medium,2,-,medium,2,-,medium,2,Y,medium,4,Y,medium,3,P,medium,3,?,low,0,-,medium,2,P,medium,3,P,medium,4,-,medium,2,?,low,0,-,medium,2,P,low,2,?,low,0,?,low,0
forcepoint-next-gen-firewall-flexedge,Forcepoint,Forcepoint Next-Gen Firewall / FlexEdge (NGFW with Security Management Center; rebranded FlexEdge Secure SD-WAN from v7.1),standard,1,2026-08-10T16:58:47Z,P,medium,3,P,medium,2,P,medium,3,?,low,0,?,low,0,P,medium,3,?,low,0,P,medium,2,P,medium,2,Y,medium,2,P,medium,2,P,medium,2,P,medium,2,P,medium,1,P,medium,2,P,medium,2,P,medium,2,P,medium,2,?,low,0,?,low,0,P,medium,3,Y,medium,3,?,low,0,P,medium,3,P,medium,2,P,medium,3,P,medium,2,P,medium,3,Y,medium,3,Y,medium,2,Y,medium,3,Y,medium,5,?,low,0
fortigate-fortiflex-microsegmentation,Fortinet,FortiGate / FortiFlex Microsegmentation,standard,1,2026-08-10T14:30:00Z,Y,medium,4,P,medium,4,P,medium,2,P,medium,2,Y,medium,4,Y,medium,5,P,low,3,P,medium,2,P,medium,3,P,medium,3,P,medium,2,P,medium,4,Y,medium,4,P,medium,4,Y,medium,3,?,low,0,?,low,0,P,medium,1,P,medium,1,P,low,1,P,medium,4,Y,medium,4,P,medium,1,Y,medium,3,P,medium,2,Y,medium,4,P,medium,3,Y,medium,3,Y,medium,6,?,low,0,P,medium,3,P,medium,4,P,medium,3
hillstone-cloudhive,Hillstone Networks,Hillstone CloudHive (山石云·格),standard,1,2026-08-10T13:58:20Z,Y,medium,4,P,medium,3,P,medium,3,?,low,0,Y,medium,3,Y,medium,3,P,medium,4,?,low,0,P,medium,3,?,low,0,P,medium,2,N,low,4,P,medium,4,?,low,0,P,medium,3,-,medium,3,-,medium,2,P,medium,3,Y,medium,2,-,medium,3,P,medium,3,P,medium,3,?,low,0,?,low,0,?,low,0,P,medium,3,P,medium,3,?,low,0,Y,medium,4,P,low,4,P,medium,3,P,high,3,?,low,0
illumio-zero-trust-segmentation,Illumio,Illumio Zero Trust Segmentation (Illumio Segmentation / Illumio Core),standard,1,2026-08-10T08:52:09Z,Y,high,4,Y,high,4,Y,medium,5,Y,medium,2,Y,high,3,Y,high,3,Y,medium,3,Y,medium,4,Y,medium,2,Y,medium,2,Y,medium,4,Y,high,4,Y,medium,2,Y,medium,2,Y,medium,6,P,medium,3,Y,medium,2,P,medium,3,Y,high,4,Y,medium,3,Y,medium,2,Y,medium,5,Y,medium,2,Y,medium,2,Y,medium,2,?,low,0,Y,medium,4,P,medium,4,Y,medium,4,Y,medium,2,Y,medium,2,P,medium,6,?,low,0
isocio-ciara,Radiflow,"iSocio (central OT monitoring, now iCEN) + CIARA (OT risk assessment)",standard,1,2026-08-10T14:30:00Z,Y,high,4,P,medium,4,?,low,0,P,medium,3,Y,high,4,P,medium,4,Y,medium,3,P,medium,2,?,low,0,?,low,0,-,medium,2,?,low,0,P,medium,2,Y,medium,3,?,low,0,-,medium,2,-,medium,2,P,medium,2,-,medium,2,-,medium,2,?,low,0,P,medium,3,Y,medium,3,?,low,0,?,low,0,P,medium,3,P,medium,4,P,medium,3,?,low,0,P,medium,2,P,medium,2,?,low,0,P,medium,2
juniper-connected-security-vsrx,Juniper Networks,Juniper Connected Security / vSRX,standard,1,2026-08-10T14:35:00Z,P,medium,3,P,low,2,P,low,2,P,low,2,Y,medium,3,Y,medium,6,P,low,2,?,low,0,P,medium,3,Y,medium,3,P,medium,3,Y,medium,4,Y,medium,3,P,low,2,P,medium,3,-,medium,3,-,medium,2,P,medium,3,-,medium,2,-,medium,2,P,medium,3,Y,medium,3,?,low,0,Y,medium,2,Y,medium,2,P,medium,2,P,medium,3,P,medium,4,Y,medium,3,?,low,0,?,low,0,P,high,8,?,low,0
kaspersky-industrial-cybersecurity-kics,Kaspersky,Kaspersky Industrial CyberSecurity (KICS),standard,1,2026-08-10T17:01:37Z,Y,medium,3,P,medium,3,P,medium,2,P,medium,2,Y,medium,2,N,medium,2,P,medium,2,P,medium,2,P,medium,2,P,medium,2,P,medium,4,?,low,0,Y,high,3,Y,medium,3,P,medium,2,P,medium,2,P,medium,2,P,medium,2,Y,medium,2,P,medium,2,P,medium,2,Y,medium,3,?,low,0,?,low,0,P,medium,3,P,medium,2,P,medium,3,P,medium,3,N,medium,1,?,low,0,P,medium,2,P,medium,3,P,medium,4
microsoft-defender-for-iot,Microsoft,Microsoft Defender for IoT,standard,1,2026-08-10T16:49:36Z,Y,high,3,P,medium,2,Y,medium,3,P,medium,3,Y,medium,2,N,medium,3,P,medium,2,P,medium,1,N,medium,2,N,medium,2,Y,medium,3,?,low,0,P,medium,3,Y,medium,3,P,medium,2,-,medium,1,-,medium,1,-,medium,1,-,medium,1,-,medium,1,P,medium,3,Y,high,5,P,medium,2,?,low,0,-,medium,2,P,medium,2,P,medium,4,P,medium,3,P,medium,3,P,medium,2,P,medium,3,?,low,0,Y,medium,3
mission-secure-platform,Mission Secure,Mission Secure Platform,standard,1,2026-08-11T00:50:00Z,Y,high,7,P,medium,4,?,low,0,P,medium,4,Y,medium,5,Y,medium,4,P,medium,2,?,low,0,P,low,2,?,low,0,?,low,0,?,low,0,P,medium,4,Y,medium,3,?,low,0,?,low,0,?,low,0,?,low,0,?,low,0,?,low,0,P,low,2,Y,medium,2,P,medium,3,?,low,0,P,medium,4,?,low,0,P,medium,3,P,medium,2,P,medium,2,P,medium,2,?,low,0,?,low,0,?,low,0
nanolock-zerotrust-ot-security,NanoLock Security (now OTOPIQ),NanoLock ZeroTrust OT Security,standard,1,2026-08-10T21:05:00Z,Y,medium,3,P,medium,2,?,low,0,P,medium,2,P,medium,2,P,medium,3,?,low,0,?,low,0,Y,medium,2,?,low,0,?,low,0,?,low,0,P,medium,2,Y,medium,4,?,low,0,P,medium,3,P,medium,3,?,low,0,?,low,0,P,medium,3,?,low,0,P,medium,1,?,low,0,?,low,0,?,low,0,P,medium,4,P,medium,3,P,medium,4,?,low,0,P,medium,1,P,medium,4,N,medium,2,?,low,0
nozomi-guardian-vantage,Nozomi Networks,Nozomi Guardian / Vantage,standard,1,2026-08-10T16:59:00Z,Y,high,3,P,medium,3,P,medium,3,P,medium,3,Y,medium,2,N,medium,3,N,medium,3,N,medium,2,N,medium,2,N,medium,2,Y,medium,3,N,medium,2,Y,high,4,Y,medium,3,Y,medium,3,P,medium,2,Y,medium,1,-,medium,2,Y,medium,3,P,medium,1,P,medium,2,Y,medium,3,Y,medium,3,?,low,0,-,medium,2,P,medium,2,P,medium,4,Y,medium,3,P,medium,2,P,medium,2,Y,medium,4,P,medium,2,P,medium,3
np-view,Network Perception (acquired by Dragos),NP-View,standard,1,2026-08-10T17:10:00Z,P,medium,6,P,medium,4,P,medium,5,Y,medium,5,Y,medium,4,N,medium,3,?,low,0,Y,medium,2,?,low,0,?,low,0,-,medium,2,-,medium,2,P,medium,3,Y,medium,3,P,medium,2,-,medium,2,-,medium,1,-,medium,1,-,medium,1,-,medium,1,P,medium,3,P,medium,2,?,low,0,?,low,0,-,medium,1,?,low,0,P,medium,6,-,medium,2,?,low,0,-,medium,1,P,medium,2,?,low,0,?,low,0
nutanix-flow-network-security,Nutanix,Nutanix Flow Network Security,standard,1,2026-08-10T15:00:00Z,Y,high,3,P,medium,3,P,medium,2,?,low,0,Y,high,3,Y,high,4,?,low,0,Y,high,3,P,medium,1,P,medium,3,P,medium,2,Y,high,4,P,medium,2,Y,high,3,P,medium,2,-,medium,1,-,medium,1,P,medium,2,-,medium,1,-,medium,1,P,medium,3,Y,medium,2,P,medium,2,Y,medium,3,N,medium,2,P,medium,2,P,medium,3,?,low,0,Y,medium,3,Y,medium,2,Y,high,3,P,medium,2,?,low,0
ordr-systems-control-engine-sce,Ordr,Ordr Systems Control Engine (SCE),standard,1,2026-08-10T13:59:34Z,Y,high,4,P,medium,4,P,medium,3,P,medium,4,Y,medium,4,Y,high,4,Y,high,4,Y,medium,4,?,low,0,Y,medium,3,Y,medium,3,?,low,0,P,medium,5,Y,medium,2,Y,medium,4,-,medium,2,-,medium,2,P,medium,3,-,medium,2,-,medium,2,Y,medium,3,Y,medium,3,Y,medium,3,?,low,0,-,medium,3,P,medium,3,P,medium,4,P,medium,3,Y,medium,2,-,medium,2,Y,medium,2,?,low,0,?,low,0
otorio-titan,OTORIO,OTORIO Titan (asset-centric IoT-OT-CPS security platform; now Armis Centrix for OT/IoT Security On-Prem),standard,1,2026-08-10T14:13:28Z,Y,high,4,P,medium,3,?,low,0,Y,medium,3,Y,medium,3,N,low,2,?,low,0,P,medium,2,?,low,0,?,low,0,-,medium,2,?,low,0,N,medium,3,Y,high,3,P,medium,1,-,medium,2,-,medium,2,-,medium,2,-,medium,2,-,medium,2,?,low,0,Y,medium,3,Y,medium,2,?,low,0,-,medium,1,P,medium,3,P,medium,3,P,medium,2,?,low,0,-,medium,2,?,low,0,?,low,0,P,medium,3
prisma-cloud-next-gen-firewalls,Palo Alto Networks,Prisma Cloud / Next-Gen Firewalls,standard,1,2026-08-10T14:14:15Z,Y,high,4,P,medium,3,P,medium,3,P,medium,2,Y,medium,3,Y,medium,4,Y,medium,3,P,medium,2,Y,medium,2,Y,medium,2,P,medium,4,Y,high,4,Y,high,3,Y,medium,3,P,medium,2,P,medium,1,Y,medium,2,?,low,0,Y,medium,2,P,medium,3,Y,medium,4,Y,medium,4,P,medium,2,Y,medium,4,Y,medium,3,?,low,0,P,medium,3,Y,medium,3,Y,medium,4,Y,medium,2,Y,medium,3,P,medium,5,P,medium,1
sangfor-hci-next-gen-firewall,Sangfor Technologies,Sangfor HCI / Next-Gen Firewall (Athena NGFW),standard,1,2026-08-10T18:00:00Z,Y,medium,4,P,medium,3,P,medium,1,?,low,0,P,medium,2,Y,medium,1,Y,medium,2,Y,medium,2,?,low,0,?,low,0,P,medium,2,Y,medium,2,P,medium,2,?,low,0,P,medium,2,-,medium,2,-,medium,1,P,medium,2,-,medium,1,-,medium,2,P,medium,3,P,medium,2,?,low,0,?,low,0,N,medium,1,P,medium,3,?,low,0,?,low,0,Y,medium,4,?,low,0,Y,medium,2,?,low,0,?,low,0
skybox-security-posture-management,Skybox Security,Skybox Security Suite (Skybox Security Posture Management Platform),standard,1,2026-08-10T17:30:00Z,P,medium,4,P,medium,3,?,low,0,Y,high,4,P,medium,4,P,medium,2,P,medium,3,Y,high,3,N,medium,1,?,low,0,-,medium,2,P,medium,2,P,medium,3,?,low,0,P,medium,4,-,medium,2,-,medium,2,-,medium,2,-,medium,2,-,medium,2,Y,medium,2,P,medium,1,P,medium,1,?,low,0,-,medium,2,P,medium,2,P,medium,5,-,medium,2,?,low,0,-,medium,2,P,medium,1,?,low,0,?,low,0
sonicwall-network-security-cloud-edge,SonicWall,SonicWall Network Security / Cloud Edge (Cloud Secure Edge),standard,1,2026-08-10T17:19:40Z,P,medium,4,P,medium,2,P,medium,5,?,low,0,P,medium,2,Y,medium,6,P,medium,3,?,low,0,P,medium,1,P,medium,4,P,medium,3,P,medium,3,Y,medium,3,P,medium,2,P,medium,1,P,medium,1,?,low,0,?,low,0,?,low,0,?,low,0,P,medium,4,Y,medium,4,?,low,0,P,medium,2,?,low,0,P,medium,3,P,medium,3,Y,medium,3,Y,medium,5,?,low,0,?,low,0,Y,medium,4,?,low,0
sophos-firewall-synchronized-security,Sophos,"Sophos Firewall / Synchronized Security (SFOS with Sophos Central, Security Heartbeat, Synchronized Application Control, ZTNA)",standard,1,2026-08-10T13:58:47Z,P,medium,4,P,medium,3,Y,medium,3,?,low,0,P,medium,3,P,medium,3,?,low,0,Y,medium,3,?,low,0,P,medium,2,P,medium,2,?,low,0,Y,medium,3,P,medium,3,P,low,1,P,medium,1,P,medium,1,?,low,0,P,medium,2,?,low,0,P,medium,3,Y,medium,3,P,medium,1,?,low,0,P,medium,1,P,medium,2,P,medium,2,Y,high,3,Y,medium,4,P,medium,2,P,medium,2,Y,high,6,?,low,0
tenable-ot-security,Tenable,Tenable OT Security (Tenable One OT Exposure),standard,1,2026-08-10T16:55:20Z,Y,high,5,P,medium,3,P,medium,2,P,medium,2,Y,medium,3,P,medium,4,?,low,0,?,low,0,?,low,0,?,low,0,P,medium,3,?,low,0,Y,high,5,Y,medium,2,P,medium,3,P,medium,1,P,medium,1,P,medium,2,Y,medium,3,P,medium,2,P,medium,3,Y,high,4,Y,medium,2,?,low,0,-,medium,3,P,medium,3,Y,high,3,P,medium,3,?,low,0,P,medium,1,P,medium,2,P,medium,1,P,medium,5
trend-vision-one-cloud-one,Trend Micro,Trend Vision One / Cloud One,standard,1,2026-08-10T17:39:54Z,Y,high,5,P,medium,3,P,medium,2,P,medium,3,Y,medium,3,P,medium,3,P,medium,2,Y,medium,2,?,low,0,?,low,0,Y,medium,6,Y,medium,4,Y,medium,3,P,medium,1,?,low,0,?,low,0,?,low,0,?,low,0,?,low,0,?,low,0,P,medium,4,P,medium,3,?,low,0,P,medium,3,P,medium,3,P,medium,3,P,medium,4,P,medium,2,P,medium,3,?,low,0,?,low,0,P,medium,2,?,low,0
truefort-fortress,TrueFort Inc.,TrueFort Fortress (Fortress Platform / Fortress XDR),standard,1,2026-08-10T14:30:33Z,Y,high,5,Y,medium,4,P,medium,2,?,low,0,Y,medium,3,Y,medium,4,Y,medium,4,P,medium,3,?,low,0,?,low,0,P,medium,3,Y,medium,3,Y,medium,4,?,low,0,P,medium,2,P,medium,3,P,medium,2,?,low,0,?,low,0,?,low,0,P,medium,2,P,medium,3,?,low,0,?,low,0,Y,medium,4,?,low,0,P,medium,4,?,low,0,P,medium,1,?,low,0,?,low,0,N,medium,2,?,low,0
tufin-orchestration-suite,Tufin,Tufin Orchestration Suite,standard,1,2026-08-10T11:22:16Z,Y,high,5,P,medium,3,?,low,0,P,medium,4,Y,medium,4,P,medium,3,Y,medium,4,Y,medium,3,?,low,0,?,low,0,-,medium,2,P,medium,3,P,medium,4,P,medium,2,P,medium,3,-,medium,2,-,medium,2,-,medium,1,-,medium,2,-,medium,2,Y,medium,3,Y,medium,5,P,medium,4,Y,medium,2,-,medium,2,P,medium,3,P,medium,6,-,medium,2,Y,medium,3,-,medium,2,Y,medium,2,?,low,0,?,low,0
