product_id,vendor,product_name,mode,1_weighted,1_max,1_raw,2_weighted,2_max,2_raw,3_weighted,3_max,3_raw,4_weighted,4_max,4_raw,5_weighted,5_max,5_raw,6_weighted,6_max,6_raw,7_weighted,7_max,7_raw,8_weighted,8_max,8_raw,total_weighted,total_max,total_raw,items_excluded,absolute_pct,applicable_pct
claroty-xdome-ctd,Claroty,Claroty xDome / Continuous Threat Detection (CTD),standard,3.5,5,4.0,2.75,5,3.0,2.25,5,3.0,0.38,5,0.5,3.0,4,3.0,1.12,4,1.5,1.12,3,1.5,1.0,2,1.0,15.12,33,17.5,4,45.8,52.2
cloudflare-one,Cloudflare,Cloudflare One,standard,1.5,5,2.0,1.88,5,2.5,1.5,5,2.0,0.75,5,1.0,1.88,4,2.5,1.5,4,2.0,2.12,3,2.5,0.0,2,0.0,11.12,33,14.5,0,33.7,33.7
colortokens-xshield,ColorTokens,ColorTokens Xshield,standard,4.25,5,5.0,4.12,5,4.5,3.12,5,3.5,1.88,5,2.5,2.88,4,3.5,1.88,4,2.5,0.75,3,1.0,0.38,2,0.5,19.25,33,23.0,0,58.3,58.3
cyolo-pro,Cyolo,Cyolo PRO (with Cyolo CPS Segmentation),standard,2.62,5,3.5,3.0,5,4.0,2.5,5,3.0,1.12,5,1.5,1.38,4,2.0,1.12,4,1.5,0.75,3,1.0,0.38,2,0.5,12.88,33,17.0,0,39.0,39.0
dragos-platform,"Dragos, Inc.",Dragos Platform,standard,2.75,5,3.0,0.0,5,0.0,2.25,5,3.0,1.88,5,2.5,1.88,4,2.5,0.75,4,1.0,0.38,3,0.5,0.38,2,0.5,10.25,33,13.0,1,31.1,32.0
elisity-digital,Elisity,Elisity Digital,standard,2.88,5,3.5,3.88,5,4.5,1.12,5,1.5,0.38,5,0.5,2.25,4,3.0,1.5,4,2.0,1.12,3,1.5,0.0,2,0.0,13.12,33,16.5,5,39.8,46.9
extreme-fabric-connect,Extreme Networks,Extreme Fabric Connect,standard,2.12,5,2.5,0.75,5,1.0,1.88,5,2.5,0.0,5,0.0,1.88,4,2.5,0.75,4,1.0,1.88,3,2.5,0.38,2,0.5,9.62,33,12.5,8,29.2,38.5
faddom-hybrid-cloud-mapping,Faddom,Faddom Hybrid Cloud Mapping,standard,3.5,5,4.0,2.25,5,3.0,2.88,5,3.5,1.12,5,1.5,1.5,4,2.0,1.12,4,1.5,0.38,3,0.5,0.0,2,0.0,12.75,33,16.0,5,38.6,45.5
firemon-security-manager,FireMon,FireMon Security Manager,standard,2.62,5,3.5,1.88,5,2.5,1.12,5,1.5,0.0,5,0.0,1.88,4,2.5,0.75,4,1.0,0.25,3,0.5,0.0,2,0.0,8.5,33,11.5,9,25.8,35.4
forcepoint-next-gen-firewall-flexedge,Forcepoint,Forcepoint Next-Gen Firewall / FlexEdge (NGFW with Security Management Center; rebranded FlexEdge Secure SD-WAN from v7.1),standard,1.12,5,1.5,1.88,5,2.5,1.88,5,2.5,1.12,5,1.5,1.5,4,2.0,1.5,4,2.0,2.25,3,3.0,0.75,2,1.0,12.0,33,16.0,0,36.4,36.4
fortigate-fortiflex-microsegmentation,Fortinet,FortiGate / FortiFlex Microsegmentation,standard,2.62,5,3.5,2.12,5,3.0,2.62,5,3.5,1.0,5,1.5,2.25,4,3.0,2.25,4,3.0,1.12,3,1.5,0.75,2,1.0,14.75,33,20.0,0,44.7,44.7
hillstone-cloudhive,Hillstone Networks,Hillstone CloudHive (山石云·格),standard,2.25,5,3.0,1.5,5,2.0,1.12,5,1.5,1.12,5,1.5,0.75,4,1.0,0.75,4,1.0,1.38,3,2.0,0.5,2,0.5,9.38,33,12.5,3,28.4,31.2
illumio-zero-trust-segmentation,Illumio,Illumio Zero Trust Segmentation (Illumio Segmentation / Illumio Core),standard,4.5,5,5.0,4.0,5,5.0,4.0,5,5.0,3.25,5,4.0,3.0,4,4.0,1.88,4,2.5,2.25,3,3.0,0.38,2,0.5,23.25,33,29.0,0,70.5,70.5
isocio-ciara,Radiflow,"iSocio (central OT monitoring, now iCEN) + CIARA (OT risk assessment)",standard,2.75,5,3.0,1.5,5,2.0,1.12,5,1.5,0.38,5,0.5,1.12,4,1.5,1.12,4,1.5,0.75,3,1.0,0.38,2,0.5,9.12,33,11.5,5,27.7,32.6
juniper-connected-security-vsrx,Juniper Networks,Juniper Connected Security / vSRX,standard,1.88,5,3.0,2.12,5,3.0,2.5,5,3.5,0.38,5,0.5,1.88,4,2.5,1.88,4,2.5,0.75,3,1.0,0.5,2,0.5,11.88,33,16.5,4,36.0,40.9
kaspersky-industrial-cybersecurity-kics,Kaspersky,Kaspersky Industrial CyberSecurity (KICS),standard,2.62,5,3.5,1.5,5,2.0,2.5,5,3.0,2.25,5,3.0,1.12,4,1.5,1.5,4,2.0,0.38,3,0.5,0.75,2,1.0,12.62,33,16.5,0,38.3,38.3
microsoft-defender-for-iot,Microsoft,Microsoft Defender for IoT,standard,3.25,5,4.0,0.75,5,1.0,2.25,5,3.0,0.0,5,0.0,1.75,4,2.0,1.12,4,1.5,1.12,3,1.5,0.75,2,1.0,11.0,33,14.0,6,33.3,40.7
mission-secure-platform,Mission Secure,Mission Secure Platform,standard,2.5,5,3.0,1.38,5,2.0,1.12,5,1.5,0.0,5,0.0,1.38,4,2.0,1.12,4,1.5,0.75,3,1.0,0.0,2,0.0,8.25,33,11.0,0,25.0,25.0
nanolock-zerotrust-ot-security,NanoLock Security (now OTOPIQ),NanoLock ZeroTrust OT Security,standard,1.88,5,2.5,1.12,5,1.5,1.12,5,1.5,1.12,5,1.5,0.38,4,0.5,1.12,4,1.5,0.75,3,1.0,0.0,2,0.0,7.5,33,10.0,0,22.7,22.7
nozomi-guardian-vantage,Nozomi Networks,Nozomi Guardian / Vantage,standard,2.88,5,3.5,0.0,5,0.0,3.25,5,4.0,2.25,5,3.0,1.88,4,2.5,1.5,4,2.0,1.5,3,2.0,0.75,2,1.0,14.0,33,18.0,2,42.4,45.2
np-view,Network Perception (acquired by Dragos),NP-View,standard,2.62,5,3.5,0.75,5,1.0,1.5,5,2.0,0.0,5,0.0,0.75,4,1.0,0.38,4,0.5,0.38,3,0.5,0.0,2,0.0,6.38,33,8.5,10,19.3,27.7
nutanix-flow-network-security,Nutanix,Nutanix Flow Network Security,standard,2.75,5,3.0,2.75,5,3.0,3.12,5,3.5,0.38,5,0.5,2.25,4,3.0,0.75,4,1.0,2.5,3,3.0,0.38,2,0.5,14.88,33,17.5,4,45.1,51.3
ordr-systems-control-engine-sce,Ordr,Ordr Systems Control Engine (SCE),standard,2.88,5,3.5,3.5,5,4.0,2.62,5,3.5,0.38,5,0.5,2.25,4,3.0,1.12,4,1.5,1.5,3,2.0,0.0,2,0.0,14.25,33,18.0,6,43.2,52.8
otorio-titan,OTORIO,OTORIO Titan (asset-centric IoT-OT-CPS security platform; now Armis Centrix for OT/IoT Security On-Prem),standard,2.88,5,3.5,0.38,5,0.5,1.38,5,1.5,0.0,5,0.0,1.5,4,2.0,1.12,4,1.5,0.0,3,0.0,0.38,2,0.5,7.62,33,9.5,8,23.1,30.5
prisma-cloud-next-gen-firewalls,Palo Alto Networks,Prisma Cloud / Next-Gen Firewalls,standard,2.88,5,3.5,3.38,5,4.5,3.5,5,4.0,2.25,5,3.0,2.62,4,3.5,1.88,4,2.5,2.25,3,3.0,0.75,2,1.0,19.5,33,25.0,0,59.1,59.1
sangfor-hci-next-gen-firewall,Sangfor Technologies,Sangfor HCI / Next-Gen Firewall (Athena NGFW),standard,1.88,5,2.5,2.25,5,3.0,1.88,5,2.5,0.38,5,0.5,0.75,4,1.0,0.38,4,0.5,1.5,3,2.0,0.0,2,0.0,9.0,33,12.0,4,27.3,31.0
skybox-security-posture-management,Skybox Security,Skybox Security Suite (Skybox Security Posture Management Platform),standard,2.12,5,2.5,1.75,5,2.0,1.12,5,1.5,0.0,5,0.0,1.5,4,2.0,0.75,4,1.0,0.38,3,0.5,0.0,2,0.0,7.62,33,9.5,9,23.1,31.8
sonicwall-network-security-cloud-edge,SonicWall,SonicWall Network Security / Cloud Edge (Cloud Secure Edge),standard,1.5,5,2.0,1.88,5,2.5,2.25,5,3.0,0.38,5,0.5,1.5,4,2.0,1.5,4,2.0,0.75,3,1.0,0.75,2,1.0,10.5,33,14.0,0,31.8,31.8
sophos-firewall-synchronized-security,Sophos,"Sophos Firewall / Synchronized Security (SFOS with Sophos Central, Security Heartbeat, Synchronized Application Control, ZTNA)",standard,1.88,5,2.5,1.5,5,2.0,1.75,5,2.5,1.12,5,1.5,1.5,4,2.0,2.12,4,2.5,1.5,3,2.0,1.0,2,1.0,12.38,33,16.0,0,37.5,37.5
tenable-ot-security,Tenable,Tenable OT Security (Tenable One OT Exposure),standard,2.88,5,3.5,0.38,5,0.5,2.5,5,3.0,2.25,5,3.0,2.12,4,2.5,1.75,4,2.0,0.75,3,1.0,0.75,2,1.0,13.38,33,16.5,1,40.5,41.8
trend-vision-one-cloud-one,Trend Micro,Trend Vision One / Cloud One,standard,2.88,5,3.5,1.5,5,2.0,2.62,5,3.5,0.0,5,0.0,1.12,4,1.5,1.5,4,2.0,0.38,3,0.5,0.38,2,0.5,10.38,33,13.5,0,31.4,31.4
truefort-fortress,TrueFort Inc.,TrueFort Fortress (Fortress Platform / Fortress XDR),standard,2.88,5,3.5,1.88,5,2.5,2.25,5,3.0,0.75,5,1.0,0.75,4,1.0,1.12,4,1.5,0.38,3,0.5,0.0,2,0.0,10.0,33,13.0,0,30.3,30.3
tufin-orchestration-suite,Tufin,Tufin Orchestration Suite,standard,2.5,5,3.0,1.88,5,2.5,1.5,5,2.0,0.0,5,0.0,2.62,4,3.5,0.75,4,1.0,1.5,3,2.0,0.0,2,0.0,10.75,33,14.0,9,32.6,44.8
unisys-stealth,Unisys,Unisys Stealth,standard,1.5,5,2.0,3.0,5,4.0,2.25,5,3.0,1.5,5,2.0,1.88,4,2.5,0.75,4,1.0,1.88,3,2.5,1.38,2,1.5,14.12,33,18.5,0,42.8,42.8
versa-secure-sd-wan-sase,Versa Networks,Versa Secure SD-WAN / SASE (VersaONE Universal SASE Platform),standard,2.62,5,3.5,2.25,5,3.0,1.88,5,2.5,0.75,5,1.0,2.25,4,3.0,1.88,4,2.5,2.25,3,3.0,1.0,2,1.0,14.88,33,19.5,0,45.1,45.1
vmware-vdefend-firewall-nsx,VMware (by Broadcom),VMware vDefend Firewall (NSX),standard,3.25,5,4.0,3.38,5,4.5,3.38,5,4.5,0.38,5,0.5,2.25,4,3.0,1.5,4,2.0,1.5,3,2.0,0.38,2,0.5,16.0,33,21.0,4,48.5,55.2
watchguard-firebox,WatchGuard Technologies,WatchGuard Firebox (Fireware OS + WatchGuard Cloud + FireCloud ZTNA),standard,1.88,5,2.5,1.5,5,2.0,1.12,5,1.5,1.12,5,1.5,0.75,4,1.0,1.12,4,1.5,1.5,3,2.0,0.38,2,0.5,9.38,33,12.5,1,28.4,29.3
zentera-coshield,Zentera Systems,Zentera CoShield,standard,1.88,5,2.5,3.62,5,4.5,3.25,5,4.0,2.25,5,3.0,2.25,4,3.0,2.5,4,3.0,1.5,3,2.0,0.38,2,0.5,17.62,33,22.5,0,53.4,53.4
zero-networks-segment,Zero Networks,Zero Networks Segment,standard,2.5,5,3.0,2.38,5,2.5,1.88,5,2.5,0.38,5,0.5,2.62,4,3.5,1.12,4,1.5,1.5,3,2.0,0.0,2,0.0,12.38,33,15.5,4,37.5,42.7
zscaler-zero-trust-exchange,Zscaler,Zscaler Zero Trust Exchange,standard,2.62,5,3.5,2.25,5,3.0,2.25,5,3.0,1.88,5,2.5,2.5,4,3.0,2.25,4,3.0,2.25,3,3.0,0.75,2,1.0,16.75,33,22.0,0,50.8,50.8
